formula,target
Ba0.2 Ce0.84 Cu2.25 Nd1.49 O9.62 Ru0.75 Sr1.47,0.51759226
Cu0.67 Pt1 Sn0.33,0.327280125
Ba2 Cu3 O6.4 Y1,0.080710068
C6 H36 Cl2 N16 O3 Re6 Rh2 S8,0.01754803
Cr2 Cu0.8 Se4 Zn0.2,0.071486061
Fe1.45 Mn2.55 O16 Si2 Sn7,0.043907563
Co0.13 F0.1 Li1.2 Mn0.43 Ni0.24 O1.9,0.464376495
Al4.64 O9.68 Si1.36,0.421522144
Cd0.125 Li1 Tl0.875,0.188385081
Cu2 Sm0.4 Y0.6,0.224337222
Cr0.7 Ni0.3 Te1,0.305432151
Br1.4 I0.6 Sr1,0.407242868
Co1.125 Li3.75 O6 Ru1.125,0.278156324
Al1.92 Li17.28 Si6,0.556646108
Ba2 Cl1 Cu2 Nb1 O8 Pb2,0.086643398
Bi0.002 Gd0.998 Nb1 O4,0.002404536
Al2.5 Ca0.5 Lu2.5 Mg1 O12 Si1.5,0.240951388
La1.2 Ni1 O4 Sr0.8,0.192289048
B1 Ba1 O8 P2 Rb1,0.106638028
Ge0.017 S2 Ti0.981,0.082560996
B3 Ba3 Dy1 O9,0.091546867
H54 Hf4 N12 Na4 O49 P12,0.014092859
Ge0.51 Li0.49 Zr2,0.230982389
Ge0.4 Sn0.6 V3,0.168252917
Cu0.5 Li0.835 S4 Sn1.665,0.227905965
H8 Al1.881 Cr0.004 Fe0.22 Mg4.882 O18 Si2.96 Ti0.004,0.094191072
Fe0.2 Ho1 Sn2,0.156375757
F2 O5 Sr3 Ti2,0.211636664
Cu0.67 Er1 Ge1.33,0.422785757
Co0.1 Cu0.9 Fe2 O4,0.244482476
Ca0.71 Er0.29 O5 Si1 V1,0.075711809
Ce0.973 Mn0.027 O2,0.041384657
Ge0.075 Mn0.925,0.266384463
Al1.38 Cr0.62 Se3,0.132312648
Ba1 O2.848 Ti1,0.110256529
Co1.86 Gd1.14,0.169092631
Co0.6 Gd1 Ni0.4,0.336505834
Na2 O11 Si4 Zr1,0.026339592
Al0.15 Ca1.75 Ce0.39 K0.5 La0.44 Na0.08 O20 Si7.85 Th0.33,0.115347247
Al1.53 Fe0.47 Mg1 O4,0.393161301
C0.46 Al7.04 Ca1.6 Cl1.54 Na6.4 O49.38 Si16.96,0.227403977
Ho0.5 Mn1 O3 Sr0.5,0.138629436
Co16 Ge1 Sm2,0.072962861
Fe1 Si1 V2,0.475633977
Fe1 Ge2 In0.5 O7 Y0.5,0.140508639
Ho2.096 O6.952 Ti1.904,0.113585185
Bi2 Cu0.026 Se3,3.44E-05
Ag1 Bi0.765 Pb0.135 Sb0.1 Se2,0.523366955
Bi1.752 Mg0.248 O6.921 Ru2,0.423126392
Mg25.07 Y3.93,0.080173715
Cl2 Pt1,0.46209812
Al0.72 Fe0.28 K1 O8 Si3,0.211792328
Al1 Hf1 Zn1,0.46209812
Ca1 Nd2 Te4,0.272692658
Pb0.8 Sb0.2,0.500402424
K2 Sb0.49 Te0.27,0.378829481
La2 S4 Sm1,0.272692658
H5.6 B1 Cd1 Na1 O10.8 P2,0.070149872
Na21.6 Si136,0.04238272
Ba0.212 Bi0.2 Ca2.142 Cu3 O9 Pb0.2 Sr1.586 Tl0.66,0.230164749
Co3.7 Ga3.7 Sc20,0.231788969
Mn0.5 Ni2.5 O6 Te1,0.135329187
Ca0.75 Eu0.25 Ni2 Zn3,0.093150848
B4 Bi2 Ca1 O10,0.038245056
Fe1 La0.2 O6 Sr1.8 Ta1,0.065016595
H2 Al3.12 Ca1.21 Fe1.47 Mg2.35 Na1.73 O24 Si6.08 Ti0.04,0.220076468
Ce0.5 I1 La2.5 S8 Si2,0.096663705
S1 Sm0.75 Tm0.25,0.281167572
C1 N1 U2,0.34657359
Fe4 Ni4 Ru1 S8,0.326186908
Bi2 Ca3.26 N1 Pr0.74,0.269782808
H3 Al3.44 Ca0.79 Ce5.05 Fe1.14 Mg0.42 Mn0.16 O31 Si7,0.080718317
Ni4 Sb6.7 Sn5.3 Yb0.58,0.537825098
Co2 Mn1 Si1,0.477212152
Li29 Nb3 O40 Zr9,0.106027792
Al0.401 Ni0.245 Ti0.36,0.523760606
Ba0.2 Ca0.91 Cu2 O7 Pb0.5 Sr1.78 Tl0.61,0.246647473
Dy1 Fe0.6 Mn0.4 O3,0.134602333
Ba1.5 Cu3 O7.5 Pr1.5,0.166617821
Ag1.8 La1 Mg1.2,0.162541487
Co1 Gd1 Ir1,0.46209812
Ba2 Ca0.23 Cu3 F2 O7 Pb1 Y0.77,0.326032685
C0.5 Ti3 Zn1,0.154032707
La1 Mn0.9 O3 Ru0.1,0.065016595
Bi0.002 Nb1 O4 Y0.998,0.002404536
Au0.05 Fe0.95,0.198515243
Eu1.1 Ni1 O4 Sr0.9,0.19661109
La5 Pb1.197 Zn1.803,0.080720044
C2 H6 Mg0.826 O6 Zn0.174,0.029203713
Ce0.92 Nd0.04 O1.96 Sm0.04,0.179155194
Al8.54 Mn8.46 Sm1.42,0.573657795
Cu2.09 Na2 O0.5 S2,0.035418348
Fe0.997 Li1.003 O4 P1,0.019173007
Cs1 O6 Ti0.5 W1.5,0.278996072
Al2.02 Ca1.98 Nd0.02 O7 Si0.98,0.124824784
Nb14.82 S8 Ta6.18,0.365179665
La4 O23 Ta2 Te6,0.068799806
H2 O8 Pr0.67 S2,0.218830996
O3.92 Sr2 V1,0.056442169
La0.2 O4 Ru0.6 Sr1.8 Zn0.4,0.189025373
Mo4 O15 Sm0.3 Y1.7,0.040258008
Lu1 Nb0.81 O6 Sr2 Ti0.19,0.048911002
Cu4 Mo6 O20,0.014959921
C2 Mn17 Sm2,0.092492377
Ba3 Nb4.8 O12 Zr1.2,0.064096349
Al88.7 Cu19.3 Li52,0.263197306
Cd0.7 Ge0.3 S1,0.305432151
Al1.5 Ge0.5 Nd1,0.374890096
Ba2 Cu2.9 Fe0.1 La1 O6.96,0.121442191
Ag1 Ba0.67 K0.33 Te2,0.158544659
Hf7 In6,0.655749713
Gd2 Se2.94,0.059537923
C0.92 Zr1,0.141343999
Co1.4 Cr0.6 Zr1,0.407242868
