formula,target
Fe1.5 Ni1.5 Y1,5
H6 Al3 B6.33 O17,20
Co0.3 Ge1 Mn1 Ni0.7,3
Fe0.1 Ga0.9 La1 O3,4
Ba0.4 O3 Pb0.6 Ti0.35 Zr0.65,3
Al10 Fe0.83 Ni3,5
La1 Mn1 Ni4,3
Li2 O4 Se1,7
Co1 O2.67 Pr0.1 Sr0.9,3
Ge4 In1 Rh1 Tb4,11
Bi2 Ce1 Pd0.78,4
Br9 Cs3 Er2,4
Ba0.726 Bi1.261 O2.65,4
La5 S8 Yb1,2
  H3.567 Al7.194 B3 Ca0.66 F0.432 Fe0.093 Li1.647 Mn0.051 Na0.272 O30.567 Pb0.005 Si6 Ti0.009,14
Cu5 Mg8 Y5,11
K1 Nb1.76 O13 Sb3.24,12
H6 Cs1 O20 Sc3 Se6,20
Al3.25 Co3.25 Nb6.5,5
Fe28 Gd3 Re1,13
Al5.987 Ca2.133 Na1.867 O32 Si10.003,15
Al1 Co1,2
Co0.94 Li0.06 O1,2
C3 H6 Mn1 N3 Na1 O3 S3,9
Ca0.584 Nd0.249 O3 Ti1,4
H1 Mn1,2
Cl12 Zr6,3
Au1 Cl3,4
B2 Ca1 O6 Sn0.99 Ti0.01,4
Fe1 Sb2 Y6,4
Ba3 Lu1 O9 Ru2,6
H18 Cl3 Co1 N6 O3,20
Bi3 Cl1 O8 Pb1 W1,11
Ba2 Cu3 Ho0.948 O6.952 Th0.052,9
F43 In32 N17 O1,4
B6 Ce0.77 La0.11,2
Mn0.8 Ni6.4 O8,5
C0.1 Pt3 U1,3
B9 Dy2 Ni15,18
Nb2 O6.26 Pb1.45,4
Ag1 Pd3 Se1,3
Al0.228 Cr1.7 Fe0.51 Mg0.548 Mn0.009 Ni0.002 O4 Ti0.004,3
H24 B24 K2 Na2,3
Al5 Lu0.75 O12 Y2.25,4
C8 H24 Au2 N2 S6 Te2,20
B4 In1 Li1 O10 Sr2,18
Ce1 Cr0.92 Fe0.08 O3,4
Al0.3 Ca3 Cr1.7 O12 Si3,4
Nb7 Re22,4
Be12 Mn1,4
Li3 Ni2 O6 Ta1,6
Fe0.96 Mn0.04 S1,4
Bi1 Pt1 Se1,3
Ag2 O3 Te1,6
Mn1 S4 Zn1,2
B2 Eu0.98 O6 Sc1.02,4
Cu11 Dy2 Ga13,4
Tl3 Tm1,2
Bi1 Rh1 S1,3
S1.82 Se1.18 Sm2,5
Li1 Mg2 O10 P3,12
Ag1 Mo3 O14 P2,17
Li3 O35 P5 U7,20
Mn0.66665 Na0.333325 Ni0.66665 O3.9999 Pr0.999975,6
H8 Mn1 O14 P2 V2,7
Cs1 Er1 P2 Se6,10
Bi8 I0.5 Ni8 S1,7
Ni66.85 Si28 Ti18.72,6
Al1.91 Ca2.12 F2 Ga1.01 Mg4.09 Na0.86 O22 Si5.99,16
Al11 Pr3,6
Ba2 Ge2 Mn1 O7,6
Pb2 Pu1,3
Fe2.149 Mg0.028 O4 Zn0.823,3
Cu4 Mg1 Sn1,3
Fe3 Na2 O8 Sb1,7
Ga2.5 Mn0.5 Ti1,2
H2 Al1.9 Ca1.84 Fe1.46 K0.1 Mg3.1 Na0.4 O24 Si6.4 Ti0.3,18
Cs1 Cu2 F5,9
Al0.5 Mn1.5 Tb1,2
F1 Li1 O9 W3,8
Li0.8 O3 Ru1,8
Al12 Na4 O48 Si12 Tl8,6
Mn12 P7 Sm2,9
Ca3 Mn2 O14 Si4,13
Cd2 O4 Si1,3
Ca8 In3,12
Mo0.56 Ti0.44,1
Li0.888 Mn1.776 O4,3
Ca1.85 Cu3.22 O10 Sr2 Tl1.93,9
Ga1 La0.38 Nd0.62 O3,4
Ir0.4 Re0.6,1
Cl10 N10 S8 Ti2,15
Dy5 Ge2 Si2,6
Ba5 Cr3 F18,20
Ga1 Li1 Mg2,3
B2 F8 Mn1,9
Ba0.4 Ca0.15 O3 Sr0.45 Ti1,3
B6 Hf3 Ni20,5
As2 F12 I2 O4 S2 Se6,20
Cr0.9 La1 O3 Ti0.1,4
Fe9.72 Mo2.28 Nd1,4
Fe3 Nd0.8 O8.9 Sr3.2,8
Ga1 S8 Ti1 V3,4
Ba4 Co4 Eu2 O15 Sr2,10
C6 Fe21.735 Ni1.265,5
La1 O4 Ta1,6
Al2 Pr0.4 Y0.6,2
Ba2 Fe1 O6 Sb1,6
Bi7 Cu3 Pb3 S15,20
Cu0.063 S4 Zr2,3
Cu3 Fe4 O12 Sm1,4
As0.5 Hg0.5,1
Fe1.2 Ge1 Ni1.8,2
Na2 Se3 Zr1,6
Al0.7 Cr0.3 Ni3,2
H3 Fe4 O15 P3,14
C1 H6 As2 O6,8
Al0.441 Ca2 Fe1.559 O5,6
Cs22 In6 O16 Si4,20
Ag1 Te1,2
Ag4 I2 O4 Se1,11
Al1.68 Ca0.68 Na0.32 O8 Si2.32,20
La0.5 O1.75 Zr0.5,2
Ba5 Ga6,4
C3 Ag1 Cs2 N3 S3,20
Ag0.44 Bi0.44 Pb0.11 Se1,2
Ca0.884 Fe1.8 O7 Sr0.452 Tb1.664 Ti0.2,9
H20 Cu1 N2 O14 Se2,20
K2 Mo3 O12 Th1,10
Cr1 F6 Rb2,3
Ni2 O5.68 Sr3.3332 Tm0.6668,4
K0.959 O2.958 Ta1,3
Ce8 Rh16.589 Sb13.666,17
O3 Ti1.8 V0.2,2
H2 Cs1 Np1 O7 Se1,12
Br9 Cs5 Nb2 S4,7
Ba2 Bi1 O6 Yb1,4
Ni1 Tc1,1
Ce1 Fe0.4 Si1.6,2
Cu1 O4 Tb2,4
B1 Ge3 La5,4
B8 Eu6 Mg1 O26 S1 Ta2,11
C1 Al2 O1,4
F6 Fe1 Na1 Sr1,9
K0.5 Na0.5 O5 P1 Sn0.5 Ti0.5,16
B4 Hg1 O7,12
C3 H3 Co1 Na1 O6,4
Cr1 O6 Re1 Sr2,5
Mg3 Na2 Sn2,5
C1 S14,4
Ba0.561 Bi1 K0.439 O3,3
Cr1 O4 W1,11
Al1 Cs1 Mo3 O12 Zr0.5,7
Ba1 La1 O6 Sb1 Zn1,5
C4 H8 Er1 K1 O12,8
Ba0.9 Ce0.8 La0.1 O2.83 Y0.2,4
Mn0.5 O3 Sr1 Ti0.5,3
B1 Gd5 Ge3,4
F6 Fe1 Nb1,3
B2 Ca1 F1 Li3 O5,12
B5 K2 Na1 O10 Zn1,20
Ba6 Cd1.35 Cu1.65 Ge4 S16,5
Ag1 Au1 Ba4 O6,7
Al3 Ca2 Ce0.03 O12 Y1 Zr2,4
Mg2 Pr1,2
Ce2 Fe21 Mo3,4
Cd1 Se0.25 Te0.75,2
Ni2 Yb1,2
Ge1 Sr1 Zn1,2
La1 O3 Ti1,4
C1 Cd1 Ti2,3
Bi3 O10.5 W2,4
Na5 O13 P1 Si2 Ti2,20
Ba1 O3 Sb0.15 Sn0.85,3
Bi6.4 Cu1.6 Pb1.6 S12,20
Cr0.05 Si2 Ti0.95,2
B8 K3 Na1 O14,20
Ba1 Cu1 O5 Sm2,7
Bi0.51 K0.49 Mg0.01 O3 Ti0.99,3
Bi1.682 Sc6 Te0.797,4
Al0.5 Sb0.5 V3,2
Fe2 Ta0.27 Zr0.73,2
Ca5 Hg3,4
Au18 Bi2 Gd6,5
Lu6 Mo1 O10.68,4
Ca0.89 Dy0.02 Eu0.09 O3 Ti1,5
Ce2 O7 Si2,11
Cl3 Cr3 O13 Te5,20
I4 P2,3
Ca0.5 Co1 La1.5 Mn1 O6,6
Ce0.5 Rh2 Y0.5,2
C1 F1 K1 O3 Sr1,5
H0.5 O3 W1,3
C1 H1 O4 Sm1,6
Ba1.09 O16 V8,5
Cu0.5 La0.5 O3.78 Sr1.5 Ti0.5,11
Cu3 Mo0.74 O9 S1.26,12
Nb1 Nd3 O7,6
Na1 Se2 V1,3
K2 O16 S5,12
Cu1 In1 Se4 Sn1,3
Cr5 P3 Zr1,9
Ge1 Pd1 S3,5
Ce1 Ge1.31 Pd0.69,4
Li0.869 Mn0.378 Ni0.754 O1.863,3
Mn2 Sc0.1 Tb0.9,2
Al1.46 Li2.54 N0.93 O3.07 Sr1,3
Ni1 Sc0.2 Sn1 Zr0.8,3
Bi5.96 Ca1.76 Nb0.28 O11.14,11
Ba6 Cl3 Mn4 O34 Si12,20
H8 B4 Ca2 O12,20
C5 H9 N2 O8 Tb1,14
H1 B5 O10 Sr2,18
In2 O49 P12 Si2 Ti6,16
Al0.1 In0.65 Mn0.05 O3 Ti0.1 Y1 Zn0.1,7
Eu3 Na15 O36 Si12,13
C1 F3 I1 N2 O6,13
Cu0.24 Ga0.05 Ni0.71 O4.3 Pr2,5
Gd4 Ge2 Nd1 Si2,7
Ge4 Ta1.87 Zr3.13,6
B6 Ce4 Fe3,5
C3 H10 Al1 N1,15
C8 H14 O16 V2,20
Cu4 Ge1 S4,18
Fe2 O15 Se6,20
C8 B2 N8 Zn1,6
K1 Nb5 O25 Ti6,17
Al2 Ce0.25 U0.75,2
H12 N3 Nb1 O8,7
H2 B5 Ca1 Cl1 O10 Sr1,20
Al0.6 Co1.4 Zr1,3
B1 Co14 Gd2,9
Bi2 Br1 Lu1 O4,4
Cd2 K2 O3,4
Be6 Cd8 O24 S2 Si6,5
As0.18 Ca2.22 Mn1.9 Na0.78 O12 Si0.18 V2.74,4
Al8 Cs5.5 O96 Si40,17
Pb9 S22 Sb9,20
Pr6 Sb14.7 Zn1.22,12
Cl4 Cs6 O1,4
In0.25 Pr0.25 Se1 Tl0.5,3
Am1 Pu1,1
F5 Li1 U1,7
H12 Al1 Na1 O14 S2,20
As2 Ba2 Cr3 O2,5
Am1 Ni2,2
As2 Ba1 Pd2,5
Li0.086 O0.957 Zn0.914,3
Na3 O8 P1 Si2,14
Br1 I1,2
Si2 W1,2
H4 F9 K3 N1 O4 P1 Ti2,18
La3 Ni1 O6 S3 W1,5
Ba1 Ni2 O8 P1.36 V0.64,5
H15 B13 Ba6 O33,18
Sb2 U1,3
Al4 Cd1 O7,7
Cu1 S3 Sc1 Sr1,5
Cu2 I2 Se6,5
Cr0.3 Mn0.7 P1,2
La2 Na2 O9.9 Ru1 Ti2,8
Br2 Ge1,6
B1 Cl4 Li1 O12 S4,20
Ga2.5 Ni2.5 Y1,5
Mo3 Rb1 Se3,3
Ba3 In1 Ir1 O9 Ru1,6
Ge1 Se0.55 Te0.45,4
Co1.7 Fe15.3 Nd2,5
Eu1 O3 Sc1,4
C1 Er3 In1,3
Ba1 O3 Pa1,3
Na1 O8 Rb3 Ru2,6
Dy6 Ni2 Sn1,7
