formula,target
Cu0.805 Ga1.645 In0.795 Se4,5.46
Dy7 Rh3,9.52
C6 H6 K4 N6 O3 Ru1,2.14
Al43 Mo4 Y6,3.72
Fe0.5 Mn0.5 Nb2 O6,5.35
In2 Nb6 S8,6.44
H1 Fe0.992 O2 V0.008,4.29
Nb1 S3.5 Sm0.56 Sr0.94,4.91
Co1.85 Er1 V0.15,10.2
Al8.26 Cr4.74,4.13
Ni3 Ti0.67 V0.33,8.01
Au0.94 Cr0.06 Nb3,10.94
La1 O1,7.64
B1 Ge2 Ta5,15.33
Bi0.5 Fe0.5 Mn0.5 Nd0.5 O3,7.84
Bi3.67 Rb1 Te6,6.8
Fe0.51 Li0.7 Mn0.58 O4 P1,3.56
H6 Li2 Pt1,4.61
As2 Li2 O8 Th1,5.1
B0.11 Pt3 U1,19.42
Ag1.12 Al11 Cd0.05 O17.11,3.78
H1 Ca1 Na1 O7 Sb2,5.14
Eu0.84 Gd0.16 S1,5.8
Ba5 Fe1.5 Nb8.5 O30 Sm1,5.86
O1 Ti0.05 V0.95,6.48
Cl0.5 Pb10.6 S30 Sb13.4,5.85
Ga0.5 In1.5 O3,6.59
H0.84 Cd1 Cl3 N0.21 Rb0.79,3.58
Cr0.3 La2 Mo1.7 O8.9,5.46
Ga0.52 La2.67 Li6.43 O12 Zr2,5.03
Ba1.7 Cu3 O7.22 Pr1.3,6.8
H5.4 Fe3 La1 O11.7 Sr3,4.71
Ca1 Cu2.8 Ni0.2 O12 Ti4,5.06
H8 Li3.21 N4 Na0.79,1.2
H9.2 Cl3.68 Li6.48 N24 P12,2.65
Cd3 Ni1 Y10,5.44
B5 K0.82 Na2.18 O10 Sr1,2.77
Ba0.281 Cu3 La1.009 O6.99,4.41
Ag1.75 Au0.25 Se1,8.9
C2 H12 F6 N6 Ti1,1.74
Al22.6 La1.4 O36,3.89
H16 Mg1 N1 O10 P1,1.7
Al16 Pd7 Sc6,5.11
Co1.016 La0.062 O6 Sr1.94 W0.984,6.89
Cu2 Eu1 Nb1 O8 Sr2,6.42
H2 Al6 Ni2 O192 Si90,1.81
Ce0.5 Mg1 Ni4 Y0.5,7.22
Ca2.91 Ce0.55 F2.76 Gd0.02 La0.23 Na2.9 Nb0.75 Nd0.22 O15.24 Pr0.06 Si4 Sm0.03 Sr0.04 Ta0.01 Ti0.24 Y0.04,3.54
H12 Cl2 N2 O6 Pt1,3.07
B0.03 Co0.1 Li0.97 Mn0.1 Ni0.8 O2,4.76
H4 B13 Ga2 Na7 O28,2.65
Pt0.7 Sb3 Zr5,8.51
Co2 Ge2 Np1,12.03
H4 Al1 Er2 Ni2,7.86
Bi4 Th3,11.65
Ni4 O15 P4 Tl2,5.23
Bi2.8 Fe1 Nd1.9 O15 Ti3,7.08
Ba2 Cu1 Hg0.998 O4.14,7.05
La0.557 Li0.33 O3 Ti1,5.02
Cr1.33 Fe0.33 Ni0.34 U1,12.57
Ca0.33 F0.47 Fe0.35 Mg0.18 Mn0.28 Na9.67 Nb0.83 O25.53 P2 Si4 Ti2.36,3.22
Ba2 Mn1 O6 Te1,6.61
Ba1.62 Ca0.53 Cu2 Hg0.7 O7.44 Sr0.85 Tl1.3,7.36
Mo1 Se1.5 Te0.5,7.28
Fe1 P1 S1,4.84
Er1 K1 O8 W2,7.46
Lu1 Pt2 Si1,14.72
H1 As1 Mg2 O5,3.2
In0.9 O6 Sb1 Sn0.1 Sr2,6.37
H13 In3 Na1 O19 P5,3.12
H4 N1 S2 Sb1,2.93
Na3 O13 Ti6,3.62
Ba0.3 Co0.1 Fe0.9 O3 Pr0.7,6.77
S0.07 U0.93,12.7
Ce1 Ni3.1 Zn1.9,8.16
H29.92 Al8 Ca4 O62.96 Si16,2.27
Au3 Ba1 Si1,11.25
Ni7 Tb1.96,9.39
As3 Mo3 Rb2,5.4
Co2 Sc0.48 Ta0.52,10.15
O7.63 U1.4 Y2.6,7.68
Al1 Ce3 Mn1 S7,4.52
Cl1 La1 O4 S1,4.15
O3.67 Sb1.92 V0.08,6.49
Bi7.5 O12 Y0.5,8.86
Al1 B1 Fe0.04 Mg0.96 O4,3.47
Ca2 Se4 Si1,3.58
N0.01 Nb1,8.57
O2.625 W1,8.33
C2 Ti1 V1,5.32
Sn1 Te1,6.49
H32 Cl4 Cr2 N10 O2,1.6
O14 P5 Tb1,3.57
C1 B6.5,2.47
Nd2 O7 Pb2,8.51
Na2 O4 Si1 Zn1,3.37
La1 Ni0.95 O3 Pt0.05,7.36
C4 H8 N1 O10 Ti1,1.84
Rb4 S11 Ta2,3.72
C2 H70 Cs1.25 K5 Mn3 N6 O97 P2 W18,4.22
H1 B1 N2 Sr2,3.62
Nd0.57 Y0.43,5.84
H10 Ca0.3 Mn0.6 Na1.06 Nb0.34 O22 Si4 Ti3.06 Zn0.85,3.05
H8.62 Al22.78 B9.11 Ca0.42 F1.81 Fe0.09 K0.01 Li3.74 Mn0.84 Na1.69 O91.19 Si17.94,3.07
H26 Ca12 O41 Si8,2.14
C1 B2 Ni2 Tm1,8.26
H49.2 K7.6 Na1.4 O90.5 P2 Pd0.3 W18.7,4.1
As4 Mo5,8.57
Ni0.8 Zn0.2,8.76
Cl1 Cs3 O14 Te2 V4,4.19
Ba2 Ca0.38 Cu2 Hg1.4 O7.44 Tl0.6 Y0.62,7.62
Cr2 Cu1 S1.6 Se2.4,5.23
Co1 Dy8 In3,8.83
Hf1 Ni1 P1,10.91
P3 Pr1 Zn3,5.07
Bi2 Fe3.5 Mn0.5 O9,6.57
O14 Pb3 Te1 V2 Zn3,6.34
Ba4 Cu3 Er1 O9.03,6.62
B0.2 Hf5 Si3,11.01
Co1 La0.962 O3 Sr0.038,7.21
Ag2 Al2 Bi2 Cl8 S3,3.88
Cd1 Pr2 S4,5.34
Cr3 Te8 Ti2,6.54
C1 Mn3 Mo3,8.95
In1 O4 Ta1,8.34
Au1 Mg2,7.16
Cu0.825 La1.85 O4 S0.175 Sr0.15,6.88
B5 Cu3 Pt9,16.11
Ag1 Al3 Pr1,5.37
As5 La4 Zn1.67,6.05
H26 K6 Mo10 O53 V3,3.09
Ag3.998 Ce0.002,10.5
H1 Ge1 Na2 O5 Pr1,4.55
Bi1 Cu2 O6 P0.68 V0.32,6.42
Mn2 Ti0.3 Zr0.7,7.04
Bi10 Se19 Sn4,7.16
Co1 Dy0.33 O2.78 Sr0.67,6.45
C6 H12 Ag1 N13 O3,1.92
Ca10 Cu3 Mg5 O48 V12,3.61
Cl1 Hg3 O1,9.64
Al3.98 Ce2 Fe13.02,6.8
Ge2 Nd1 Pd1,8.49
