,formula,target
49796,Ba0.404 Ca0.939 Cu2 O7 Pb0.5 Sr1.55 Tl0.607,1
49797,Ga1 Pd2 Y1,0
49798,Mo12 Rb2 Se14,0
49799,Nb10.7 O32.7 V2.38,1
49800,Li0.94 O4 Ti2,1
49801,Ba1 Mo3 O10,0
49802,Cs2 Cu2 O19 Si8,0
49803,I14 Rb2 W6,0
49804,Ca1.9 Ce0.1 Fe1 Mo1 O6,1
49805,As3 Cu2.186 Hf1 Nd1,1
49806,Cu0.8 In2.252 Se4,1
49807,Cl1 Cu1 Dy1 O6 Te2,0
49808,Eu2 Se3,0
49809,Al3 Dy1,0
49810,Cs6.81 Ga13.92 Na7.1 O96 Si34.09,1
49811,Cr9.61 Mo25.12 Ni21.27,1
49812,Ba2 Cu2.946 O6 Pr1,1
49813,Cl4 Li2 V1,1
49814,La0.5 Mg0.5 Nd0.5 O3 Sn0.5,1
49815,Fe0.16 Li1 Mn1.77 O4,1
49816,Co17 Sm1 Y1,1
49817,H2 Al1 O10 P3,0
49818,H12.44 N1.61 Na0.39 O10 S1 Te1,1
49819,O1 P1 Y1 Zn1,0
49820,Ag3 K3 P3 Se9,0
49821,F5 Na1 Te1,0
49822,H2 Dy2 Mo3 O17 Se2,0
49823,Co2 K0.55 Se2 Tl0.45,1
49824,C9 Fe3 O9 Se2,0
49825,H20 Cl2 Co1 I1 N6 O4,0
49826,La0.1 O4 Sn1 Sr1.9,1
49827,Bi4 Fe2 Se8,1
49828,Co12 Nd2 P7,0
49829,B1.934 Nb1,1
49830,Ca1.93 O4 Si1 Sr0.066,1
49831,Lu0.25 Mn0.75 O3 V1,1
49832,Li2 O3 Rh1,1
49833,In4 Ni1 Pr1,0
49834,Sc0.125 Tc0.875,1
49835,Ba2 Ca1.17 Co0.83 F14 Fe2,1
49836,H8 B1 O10 S1 Sm1,0
49837,Dy1 Se2,0
49838,Al0.05 Co0.1505 Li0.986 Ni0.8135 O2,1
49839,Ni2 O5.5 Sr3.3332 Y0.6668,1
49840,Ge0.8 Sb0.133 Se0.733 Te0.267,1
49841,Co3 Fe14 Nd2,1
49842,Al0.54 Fe0.97 Ga0.48 O3,1
49843,H3 B6 K3 N1 Na1 O15,1
49844,In1 Mo3 Te3,0
49845,C2 La2 O2,0
49846,Mg1.86 Sb2 Zn1.14,1
49847,Si3 Y1,0
49848,Ca1 Hg1.18 In0.82,1
49849,Ca0.25 La0.65 Li0.1 Mn1 O3,1
49850,Hf0.1 Ni0.9 Ti1,1
49851,Cu1.16 Er1 Mn1 P2,1
49852,Br3 Ir1,0
49853,C3 H10 Cl1 N1 O4,0
49854,C6 S8,0
49855,B1 Co4 Ho1,0
49856,Ba3 Ge3.43 Si0.57,1
49857,C0.3 Ba3 Na0.94 O8.7 Ru1.76,1
49858,Ga11 Na1.8 O17,1
49859,Ba2 Cu1 Hg0.986 O4.13,1
49860,Cr2 Nd0.05 Se4 Zn0.96,1
49861,La0.9 Mg0.45 O3 Sr0.1 Ti0.55,1
49862,Cl6 K2 Tc1,0
49863,Bi0.85 Cu1 O1 Pb0.15 Se1,1
49864,Cd0.29 Cs2 Hg0.71 I4,1
49865,C8 H12 Cd1 Cl1 N6 P1,0
49866,Cl6 Cs2 Na1 V1,0
49867,Ba1 Nd2 S5 Zn1,0
49868,As0.95 Mn1 Sb0.05,1
49869,Ca1 F6 Li1 Ni1,0
49870,Cr0.144 Ni0.808 Ti0.048,1
49871,Ge42 Na8 Zn4,1
49872,C22 H55 B3 N6 O5 W1,0
49873,N1 Pd2 Zr4,0
49874,Ga1.4 Mn1.6 O4,1
49875,Ca0.6 Eu0.4 Mn1 O3,1
49876,Er5 Rh3,0
49877,Ba1 Co2 O6 Sm2,1
49878,Ba3 Ir2 Mg1 O9,0
49879,Fe1.013 Se0.32 Te0.68,1
49880,N1 S3 Sm3,0
49881,Co0.2 Fe0.8 La1 O3,1
49882,O6.3 Ru2 Sr3,1
49883,Ir0.67 Na0.89 O2 Zn0.33,1
49884,Fe2.16 Ti0.84,1
49885,Fe4 K14 O13,0
49886,Ba1 Cd1 O12 P4,0
49887,Nb2 Pd1 Se6,0
49888,C4 H30 Co2 N14 O2 S4,1
49889,Cs4 Cu1 K2 O8 Si2,0
49890,Fe1.78 O3.71 Zn0.945,1
49891,B3 F1 O10 Pb6,0
49892,Ba0.07 Bi0.465 Na0.465 O3 Ti1,1
49893,As2 Ba0.8 Co0.14 Fe1.86 K0.2,1
49894,B2 W1,0
49895,Ga4 Hf3 V2,0
49896,H36 Au1 Na5 O28 Te2,0
49897,C4 H7 O6.5 Pb3,0
49898,Cr1 Nd1 O3,0
49899,C2 H4 Cu1 N2 Na1 O2,0
49900,Bi1 Cu1 Sr1,0
49901,Ge1 Lu1 Mo0.15 Ti0.85,1
49902,Ga7 Mn10 Tb2,1
49903,Cl11 Nb4 Rb1,0
49904,Ta0.013 Ti0.985,1
49905,Cd0.162 Mg0.838,1
49906,Bk2 O3,0
49907,B1 Li2 Pt3,0
49908,H4 N1 O3 P1,0
49909,Fe10 Mn2 Nd1,1
49910,Ba2 O4 Si1,0
49911,Au1 Tl2,0
49912,Ga8 Rh3 Tb3,0
49913,Cr1.996 Fe0.072 Mg0.932 O4,1
49914,P0.0016 Si0.9984,1
49915,Al8 Ca1 Mn4,0
49916,Cr1 Mn1 Na4 O12 P3,1
49917,Co1 Sb0.75 Se1.2 Sn0.05,1
49918,N0.6 O0.08 S0.06 U1,1
49919,La1.16 Ni1 O3.94 Sr0.77,1
49920,Ag1 As0.93 Hg1 S3 Sb0.07,1
49921,Cu3 Nd1 O12 Ru4,0
49922,Ca0.4 La1.6 Ni1 O4.03,1
49923,Ce20 O6 S44 Ti11,0
49924,O4 Te1 V1,0
49925,Cs1 Fe2 Se3,0
49926,C9 H2 O9 Ru3 S1,0
49927,Ni1.265 O5 S1,1
49928,Ca3 Fe1.004 O12 Si3 Ti0.996,1
49929,Cu0.99 In1.06 Mn1.95 Te3.79,1
49930,La1.05 Na0.84 O6 Ti2,1
49931,Mn1 Na0.025 O3 Pr0.975,1
49932,Eu1 Si1,0
49933,K1 O4 Sm1 Ti1,1
49934,Ba1 Ca1 Pb1,0
49935,N6 Na5 Rb1 W2,0
49936,Co2 O4 Zn1,1
49937,Ga5 K1 S12 Zn4,1
49938,Cs1 Mo3.868 O12,1
49939,Fe0.61 Mg1.39 O4 Si1,1
49940,Er1 P1 S1,0
49941,Rb2 S8 Si3 Zn1,0
49942,Ba1.9 Cu3 O7.12 Pr1.1,1
49943,K1 S2 Tm1,0
49944,Cu0.3 Ni0.7 Yb1,1
49945,Ba3 Cu13.53 Te12,1
49946,La0.96 Mn1 O3 Sr0.04,1
49947,Al1.7 B1 Fe12.3 Y2,1
49948,Co1 Hf1,0
49949,Cu2 Ti1,0
49950,Pr1 Sb2 Zn0.63,1
49951,O5 Si1 Yb2,0
49952,As2 W1,0
49953,Ge0.228 Li4 S4 Sn0.772,1
49954,Se2 Ta0.45 W0.55,1
49955,B2 Ni1 W2,0
49956,Cu1 Gd0.89 La0.9 O4 Sr0.21,1
49957,Co1 Fe16 Nd2,1
49958,Fe8 Ge3 O18,1
49959,Cr0.67 Fe0.33 Ga1,1
49960,F1.3 N1 Na0.3 Zr1,1
49961,H10 Ce2 O17 S3,1
49962,H12 F6 Ga1 N3 O3,0
49963,Ga3 Ge7 Rb3 S20,1
49964,O9 Sb2 Te2,0
49965,Pd3 Se8 Ta2,0
49966,O1 Zr3,0
49967,F0.02 Fe0.96 Li1 O4 P0.98 V0.04,1
49968,Ba1 O3 Ti0.95 Zr0.05,1
49969,Cu1 Dy2 O5 Sr1,0
49970,La2 Ni2 O9 Sr2 Tl1,1
49971,Er2.667 O6.667 Ti1.333,1
49972,Ni1 O4 Se1,0
49973,O2 Sr1 Zn1,0
49974,Ca0.25 Fe0.5 Mn0.5 Nd0.75 O3,1
49975,Ce1 Ni0.5 Pt0.5 Si1,1
49976,Cr2 Fe0.67 Mg0.33 O4,1
49977,Co1 La1.4 O5.71 Sr0.6 Ti1,1
49978,As1 Lu1 Pt1,0
49979,Mg3 Na4 O15 P4,0
49980,Ce1 Hg1,0
49981,Al0.99 F0.99 O4.01 Si0.01 Sr3,1
49982,Au1 Li2 Tl1,0
49983,C3 Co1.5 Fe15.5 Sm2,1
49984,Fe0.81 Ge0.19,1
49985,Al1 B2 La2 Os2,0
49986,Ba0.248 La0.752 Mn0.96 O3 Zn0.04,1
49987,Co1.92 Ni0.965 Se3.82,1
49988,Na2 O7 V2 Zn1,0
49989,Ga2.667 O4,1
49990,Bi0.15 F1.85 O0.15 Pb0.85,1
49991,Pt1 Sn1 Te1,1
49992,Mn3.16 O0.23 Ta2.84,1
49993,H3 Cu2 F2 K1 O8 P2,0
49994,Ce1 Cu1 P2 Zn1,1
49995,O3 Xe1,0
49996,O2 Ti0.666 Zr0.333,1
49997,Ga12 Lu4 Pd1,0
49998,O2 Pa1,0
49999,Ge0.733 Li0.133 Sb0.133 Te1,1
50000,Cu1 La1 O5 Sr1 Tl1,1
50001,Cu1.875 La1 Ni3.125,1
50002,Co1 La0.7 O4 Sr1.3,1
50003,Bi10.08 Co15.92 O40,1
50004,Au9 In13 Sr4,0
50005,C1 B1 Lu1 Ni1,0
50006,B311.9 Sc4.88,1
50007,H0.87 Ce1 Fe11.04 Ti0.96,1
50008,Ag2 Mo3 O12 Zn2,1
50009,Fe2.75 Ge1 V0.25,1
50010,Ba0.988 Br1 Eu0.012 F1,1
50011,Dy4 Ga1 S9 Sb1,0
50012,B2 Fe1 Rh5 Ti2,0
50013,C2 H12 Cl4 Cu0.02 Mn0.98 N2,1
50014,La0.525 Mn1.033 O3 Sr0.442,1
50015,Si1.67 U1,1
50016,Fe2 Mg3 O12 Si3,0
50017,Mn0.6 Na3.494 O12 P3 V1.4,1
50018,Al0.763 Ca2 Co1.237 O5,1
50019,Ca2 O7 Si2 Zn1,0
50020,Ca0.81 Fe1.9 O7 Sr0.44 Tb1.76 Ti0.1,1
50021,Ni1.695 Sn1 Yb1,1
50022,Co10 Ga7 Tb2,1
50023,Ba1 Mo6 O10,0
50024,La0.8 O3.95 Sr1.2 V1,1
50025,S3 Sn1 Zr1,0
50026,Nb0.5 O3 Sr1 Yb0.5,0
50027,Hg0.8 Te1 Zn0.2,1
50028,P5 Sm1,0
50029,Li1.268 Mg0.1 O4 Ti1.634,1
50030,H6 Co1 F1 O6 P1,0
50031,Ag1 Ca2 O12 V3 Zn2,1
50032,P5 Pd5 Sr4,0
50033,O6 Pb2 Sb1 Sc1,1
50034,Ba1 O14 P4 Ti2,0
50035,Sb5 Ti1 U3,0
50036,Bi9 Fe1 O27 Ti6,1
50037,Ce2 Co14.1 Mn2.9,1
50038,Cu1 La1 P2 Zn1,1
50039,Ca2 Cu2 Ga1 La1 O7,1
50040,Cu1 Mg1 Sn1,1
50041,Br4 Cu7 Na2 O14 Se4,0
50042,Cr3 Ge1,0
50043,C0.5 B0.5 Gd1 Pd3,1
50044,Si2 Zr1,0
50045,Al0.68 Ni3 Ta0.32,1
50046,Co0.5 Fe0.5 La0.8 O3.65 Sr1.2,1
50047,Ba2 O6 Pr1 Sb0.6 Sn0.4,1
50048,Al1.824 Cu0.446 Mg0.73 O4,1
50049,B4 O7 Tl2,0
50050,Co1 F3 K1,0
50051,Cs3 F2 O10 Si4 Tb1,0
50052,In1 Ni2,0
50053,Cs2 I6 O18 Pt1,0
50054,Cu1 Li3.16 O8 Ti3,1
50055,Co16 Sm2 Zr1,1
50056,Cs1 F13 O3 Xe3,0
50057,Fe1.8 O4 Ti0.02 Zn1.1 Zr0.08,1
50058,Lu5 Pt3,0
50059,Cu2 Ni1 O5 Si1,0
50060,Cu1 Ge1 Sm1,1
50061,Co0.05 Mn0.365 Ni0.45 Sn0.135,1
50062,Rh1 Si1 U1,0
50063,Ag0.068 Te2 Zr1,1
50064,Fe0.6 Sb2 U1,1
50065,Al11 O48 Si13 Tl11,1
50066,H2 Cu3 F4 O2,0
50067,Ca1 O9 P2 V2,0
50068,Al7 Cu16 Zr6,0
50069,Cr0.85 Mn0.15 Te1,1
50070,Ho2 Mn1 Ni1 O6,1
50071,La0.4 Nb2 O6 Sr0.6,1
50072,C0.55 Na4 O7.45 S1.45,1
50073,Fe4 Gd1 Mn8,1
50074,Au5 Zn3,1
50075,Lu0.81 Ni1.19 O6 Sr3,1
50076,B1 Gd0.63 Si0.23,1
50077,O8 Si1 Sn6,0
50078,As12 Ce1 Fe4,0
50079,Li6 P5 S20 Y3,1
50080,B6 Cd1 Li1 O18 Y5,1
50081,Ce0.58 O2 Zr0.42,1
50082,Li1 O13 V6,0
50083,Ba8 Cu5 Ge31.5 Si9.5,1
50084,Au1 Ca1 Sb1,0
50085,As2 F12 N2 S2 Se1,1
50086,C6 H14 Co0.8 Cu2.2 O16,1
50087,H3 Al18.07 Fe3.33 Li0.1 Mg0.82 O48 Si7.48 Zn0.08,1
50088,Ge1 La1 Li2,0
50089,H3 B1 Ga1 Li1 O5,1
50090,Co0.07 Fe3.97 Ni4.84 S8,1
50091,As1 Pd1 Zr1,0
50092,Cd2 K11 Sb5,0
50093,Al2.46 Ba1.23 O16 Ti5.54,1
50094,Ho1 Ni1 Sn1,0
50095,As1 Cr0.9 Mn0.1,1
50096,Ba2 Hg1 S3,0
50097,B4 Hf0.55 Ta2.45,1
50098,Dy0.1 La8.9 Na1 O26 Si6,1
50099,Ba1.938 Bi0.375 Nb5 O15,1
50100,Mn2 O6 Te1,0
50101,Ca3 Ge6 Na6 O18,1
50102,Cs1 I3 Mn1,0
50103,Cu2 Ge1 Mg1 S4,0
50104,Ga0.05 La2.91 Li6.55 O12 Zr2,1
50105,Ba6 Fe8 S15,0
50106,Ca0.95 La0.05 Nb1.99 O6,1
50107,Ho2 Rh1 Si3,0
50108,I18 Rh2 Te17,1
50109,Ca4 O1 Sb2,0
50110,Co0.5 Ge1 Pr3 S7,1
50111,Ca1 Mn1 O7 P2,0
50112,Li1.11 Mn1.74 O4,1
50113,Eu3 O14 Sb3 Zn2,1
50114,Co1.8 Cr0.8 O4 Sb0.4,1
50115,Ca2 Na2 Nb4 O13,1
50116,Co0.5 Ni0.5 Se1,1
50117,Al0.052 Cr0.912 Ta0.036,1
50118,Ca1 K2 Na8 O24 S6,1
50119,Cu3 Hg2 O16 Te6,0
50120,Ce0.15 Cu1 Nd1.85 O4.035,1
50121,Cr0.56 Ga4.44 O12 Y3,1
50122,H3.394 As0.8035 Cu2 O7 Sb0.1365 Zn0.953,1
50123,Rb2 Te5,0
50124,Ba1 K5 P4 Ta1,1
50125,Ag1 O10 P2 V2,0
50126,H5 Li1 O6 Te1,1
50127,Cs8 Sn46,0
50128,Al0.92 B1 Fe13.08 Y2,1
50129,Mn1.8 Ti0.96 Zr0.24,1
50130,Cr3.71 S6.52 Sn0.92,1
50131,Ge7 Re3,0
50132,La24 Ru11,0
50133,Ge3.204 In0.4005 Sb0.1335 Te4.005,1
50134,Ba2 O6 Os1 Sc1,1
50135,Cs1 O6 Se2 Y1,0
50136,C14 H28 Cr1 Li1 N8 O2,0
50137,Mn0.95 Nb4 S8,1
50138,F0.8 Li3.2 Nb0.8 O3.2,1
50139,Mo10 O34 Tl8,0
50140,B3 Re1,0
50141,H1 N2 P1,1
50142,Fe2 Ge7 U3,0
50143,H3 Nd1 O3,0
50144,Ga0.66 Ge5.34 Mn6 Sc1,1
50145,Ca0.81 F2.38 U0.19,1
50146,Fe2.051 O4 Zn0.949,1
50147,Co1 Ga3 Nd8,0
50148,Dy2.03 La0.97 O3 Sb1,1
50149,Cl3 N1 Pr4 S3,0
50150,As3 Co2 Li1 O10,1
50151,Ga0.6 Ge5.4 Mn6 Tm1,1
50152,Tb1 Te1.799,1
50153,C2 Br2 Gd2,0
50154,Au1 P3 Pr2,0
50155,Ba1 Bi2 O1 Ti2,0
50156,Cl1 O1 Y1,0
50157,Ga1 Hf1 Ni2,0
50158,B4 Co1 Gd1,0
50159,K3 O12 S3 Yb1,0
50160,Co5.04 Ga6.96 Y1,1
50161,Ag1 Sr1,0
50162,In1.27 La3 Pb3.72,1
50163,Al1 Cu4 Yb1,1
50164,Mg1 Se2,0
50165,Ca0.99 La0.01 Mn1 O3,1
50166,B3 Fe0.036 W0.828,1
50167,O6 Sr3 U1,0
50168,C7 H18 Al1 N1,1
50169,Dy14 In3 Rh2.89,1
50170,Pd0.026 Ru0.974,1
50171,In0.5 Na0.5 S2 Sn0.5,1
50172,Bi0.543 Ce0.457 O1.728,1
50173,H12 B3 Lu1,0
50174,Ca10 Fe0.8 O24 V5.2,1
50175,P0.68 Ti1 Zr1,1
50176,Fe3 Gd0.5 Y0.5,1
50177,Cs0.64 Mg0.356 O4 Ti1.65,1
50178,Bi8 Sn2 Yb11,0
50179,Fe4.79 Li0.8 Mg0.4 O8,1
50180,Ca1 Pd1 Sn1,0
50181,H10 Mg1 O9 S1,0
50182,Br2 Dy1,0
50183,Cu38 Ga13 Lu14,1
50184,Ni12 P7 Yb2,0
50185,Ce0.85 O1.925 Sm0.15,1
50186,Ba3 I2 P3,0
50187,La1 O3 Yb1,0
50188,Fe6 Ga6 Lu1,1
50189,Al17.5 Fe2.992 Mg0.784 Mn0.07 O48 Si7.424 Ti0.152,1
50190,Ba3 Co2 O9 W1,1
50191,F10 I6 Rb6 Sn5,0
50192,Mn0.75 O8 P2 Zn2.25,1
50193,As1 Rb3 Se4,0
50194,O2 Rb0.28 Si1,1
50195,Cl1 Gd1 O4 S1,0
50196,C2 H4.56 Ca1 O6.28,1
50197,Mn0.6 Na0.44 Ni0.4 O2,1
50198,Fe3 N1 Pd1,0
50199,H2 Co2 O12 Se4 Sr1,0
50200,C0.5 Fe10 Nd1 Si1,1
50201,Ce1 Mn1.75 Pd0.25 Si2,1
50202,Al1 Ba1 Er0.02 La0.98 O4,1
50203,Cr0.98 Cu1 Mg0.02 O2,1
50204,Br0.25 Cl0.75 Eu0.01 O12 P3 Sr4.99,1
50205,B1 Mn4,1
50206,C11 Fe3 Mo1 O11 S4,0
50207,Al1 Fe2 V1,1
50208,Hg1 O4 W1,0
50209,H3 F11 O1 Sb2,0
50210,Cu0.03 La0.5 Mn0.97 O3 Sr0.5,1
50211,Ba1 Nb3.47 O6 Ti0.53,1
50212,Cu0.4 Fe2 Mg0.5 O4 Zn0.1,1
50213,C24 H102 N6 Nd2 O92 P2 W22,1
50214,H6 Ba3 O24 P6 V2,0
50215,Pb0.995 S1,1
50216,Pb9 S22 Sb8,1
50217,P1 Rb1 Se6,0
50218,Pd2 Sn1 Y0.7 Yb0.3,1
50219,B2 Er1 Ru3,0
50220,N12 P6 S1 Zn4,0
50221,Cd1 Li2 S4 Sn1,1
50222,C38 H40 Fe1 N5 O2 P1,1
50223,Li1 Mn1.5 Ni0.45 O4 Zn0.075,1
50224,B1 Fe3 O5,0
50225,Fe0.85 Ge0.15,1
50226,B8 Eu1 Na3 O15,0
50227,Ba2 Ga1 Se5 Yb1,0
50228,Co1 I12 Sc7,0
50229,Ga4 Pb3.22 Sr10.78,1
50230,C12 Rh5 Tm8,0
50231,Ba3 O15 P3 V2,0
50232,Ba0.5 Bi1 Lu1 O6 Sr1.5,1
50233,Ca1.8 Ge6 La8.133 O26,1
50234,Fe2 La1 P2,1
50235,Ba4 Eu0.5 La0.5 Nb9 O30 Ti1,1
50236,Cu4 Ni1 Yb1,0
50237,Ge0.18 O2 Si0.82,1
50238,Ag1 N5,0
50239,Bi24.96 Co1 O40,1
50240,O8 Rb1 S2 Tl1,0
50241,Ce4 Fe1 S7,0
50242,Bi0.5 Ni1 O4.79 Sr2.5,1
50243,Al1.26 Fe0.74 Tb1,1
50244,H2 Ce1 F2 O5 S1,0
50245,Mg1 Nd1 O6 Pb1 Sb1,1
50246,C8 H24 Cr1 N20 Na1,1
50247,H1 Cu2 O5 P1,0
50248,Gd0.94 Hf4.06 Si4,1
50249,Ba0.86 Ca2 In6 O12,1
50250,C1 B2 Ni2 Tb0.363 Y0.637,1
50251,B1 Fe13.45 Nd2 Si0.55,1
50252,Al1 Ce0.96 Pd1 Y0.04,1
50253,Cr4 K2 O13,0
50254,Fe1 Mn1 Ti0.2 Zr0.8,1
50255,B4 F2 O11 Tb4,0
50256,Ca1 Ho0.05 La1.6 Mo4 O16 Yb0.35,1
50257,Ba3 O9 Pt1 Ru1 Y1,1
50258,Fe1 La0.6 O2.796 Sr0.4,1
50259,Ga4 Sc1 V2,0
50260,La1 Ni4.6 Sn0.12 Zn0.28,1
50261,Ca1 O5 Si1 Ti0.47 Zr0.53,1
50262,H15 Cl5 Co1 N5 Pt1,1
50263,Ba1.6 O6 Os1 Sr0.4 Y1,1
50264,Co1.988 La1 P1.934,1
50265,Ge6 Mn6 Yb1,1
50266,N6 Sr1,0
50267,Cr1 Eu1 Mn1 O5,1
50268,Cu0.85 Sn0.15,1
50269,Fe0.7 O3 Sn0.3 Sr1,1
50270,B3 O5 Tl1,0
50271,Au5 Cs1.89 O2 Rb5.11,1
50272,Ca0.09 Co1 Eu0.91 O3,1
50273,I5 K2 N1 O1 Ru1,0
50274,Ga0.4 Si0.6 V3,1
50275,Bi0.825 Fe1 La0.175 O3,1
50276,Er1 Ir1,0
50277,Co1 La1 Ni4,1
50278,H8 B1 N2 Na1,0
50279,Cu1 Gd3 Se6,1
50280,Ga8 Rh3 Tm3,0
50281,C1 Cd1 F1 K1 O3,0
50282,Br2 Nb3 Se10,1
50283,Ca0.5 Mn0.95 Nd0.5 O3.12 Ru0.05,1
50284,H8 K4 Mn3 O24 P6,0
50285,F10 Na1 Y3,1
50286,Ag1 P2 Sm1 Zn1,1
50287,Ca0.87 Zn5.26,1
50288,Nb3 Pb1,0
50289,Na10 P6 Sn2,0
50290,F3 Sc1,0
50291,Al2.2 Zn0.8 Zr1,1
50292,As0.8 In0.2 Pd3,1
50293,Ba3 Cu6 La3 O14,1
50294,Ce0.504 O1.988 Pr0.496,1
50295,Li0.67 O13 V6,0
50296,Cu0.43 Li0.57 Nb3 O8,1
50297,B8 Ce15 N25,0
50298,B1 Ga8 Ir4,0
50299,Ag0.8 As2 Nd1 Zn0.2,1
50300,C6 Fe1 Hg2 N2 O4 S2,0
50301,Ru1 Tc1,1
50302,H4 N10 O32 Rb4 Rh2,0
50303,Se4 Tl4 Zr1,0
50304,Ca1 Po1,0
50305,C6 H6 Cl3 F6 Ho1 O9,0
50306,Eu1 K2 Nb5 O15,0
50307,C4 H4 Ag2 Ca1 N4 O2 S4,0
50308,H2 Al10 O16,0
50309,K2 O11 Sb4,0
50310,Li2 O3 Pb1,1
50311,Ca5.45 Li0.3 O28 P7 Sr4.9,1
50312,Al7.4 Fe4.6 Tb1,1
50313,Mo7.568 O25 W1.432,1
50314,Bi0.1 Cr1 O3 Pr0.9,1
50315,Ag7 Ca2,0
50316,Bi4 In8 Pb1.6 S19,1
50317,Bi0.1 Mn1 Mo1 O6 Sr1.9,1
50318,Au1 Si3 Sr1,0
50319,Ge136 Na21.7,1
50320,Cs1 S1 Tb3 Te4,0
50321,Pd1 Sb2 U1,0
50322,Ba1 Eu1.4 La0.6 O5 Zn1,1
50323,O3 Pb0.998 Ti1,1
50324,Fe5 O12 Sm3,0
50325,Pb1 Pr2 S8 Si2,1
50326,Cl12 Na1 O8 P1 Pr6 Si1,1
50327,H2 Ba8 Bi4 O1,0
50328,O62 P4 W18,0
50329,H2 Cd2 O6 S1,0
50330,C4 N4 Ni1 Zn1,0
50331,Eu0.16 La1.84 O7 Si2,1
50332,Ca1 P2 Pt8,0
50333,C1 H1 Hf2,1
50334,I5 La1 O16 V1,0
50335,Cu2 Mg3 Na1 O30 Rb1 Si12,1
50336,Bi8 O15 S1,1
50337,Cs2 K1 O14 Si4 U2,0
50338,Co19 P12 Y5,1
50339,B3 Ba3 O9 Tm1,0
50340,Ba2 Cu1 In1 O4.58,1
50341,Hf7 Pb2 Se25 Tl18,0
50342,Ni4 O12 P3 Tl1,0
50343,Dy2 O7 Ru2,0
50344,Cd3 O11 Rb1 V3,0
50345,As2 O4 Zn1,0
50346,Na1 O2 Pr1,0
50347,Ce8 Co1 Ga3,0
50348,Al2 Ni1 Sc1,0
50349,Cu1.334 S2.001 Si0.667,1
50350,Ce0.84575 Fe0.005 O1.9229 Sm0.14925,1
50351,Al10.33 Mg0.67 Na1.67 O17,1
50352,Ge4 Li4 Yb5,0
50353,Hg3 O10 Se1 Te2,0
50354,O12 Re2 Sr5,0
50355,H32 Li6 O44 V10,0
50356,Br0.5 Cl0.5 Cu1,1
50357,Ba1.128 O21 V8,1
50358,Mn2.17 Mo3 Na1.66 O12,1
50359,S12 Th7,1
50360,Dy5 Ru2,0
50361,Ce0.7 Y0.3,1
50362,Cr1 Fe1 Rh1 S4,1
50363,Gd1 Hf1 K2 O12 P3,1
50364,In1.2 Sb0.8 Se1.8 Te1.2,1
50365,Ba2.136 Ce1.332 Cu6 Gd2.668 La1.864 O17.94,1
50366,Hf0.5 O7 Ti1.5 Y2,1
50367,Al0.95 Ga0.05,1
50368,Cu0.5 Mg1.5 S4 Sn1,1
50369,La1 Te1.933,1
50370,Fe2 Re3,1
50371,Am1 Bi1,0
50372,B6 Eu1 Ni12,0
50373,Fe1 O0.06 Se0.44 Te0.5,1
50374,Ba0.534 Bi1 K0.466 O3,1
50375,B1 Cl15 Hf6 Na0.76,1
50376,Li0.49 Mn2 O4,1
50377,Ga16 Ge30 Sr8,1
50378,Ca0.4 La0.2 O3 Sr0.3 Ti1,1
50379,H38 Mg2 N1 O32 P4 Ru2,1
50380,As5 Ba2 Rb1,1
50381,H24 Cr1 K1 O20 S2,1
50382,Ce6 In5 Pd12,0
50383,Al0.82 Ca3 Fe1.18 O8 Ti1,1
50384,Al0.2 Fe1.8 O4 Zn1,1
50385,Fe2 O4 Y1,0
50386,Ag0.15 La0.595 Mn1 O3 Pr0.255,1
50387,C12 H36 Cl9 P3 Sb2,1
50388,Cu0.25 O4 W1 Zn0.75,1
50389,Ca0.7 Eu0.3 Mn1 O3,1
50390,Co0.1 Cu1 In0.9 Se2,1
50391,Bi1 N1 Sr3,0
50392,Fe2 La0.3 O6.84 Sr2.7,1
50393,O2 Sn0.075 Ta0.3335 Ti0.425 Zn0.1665,1
50394,Mg2 Ni2 O9 Ta2,1
50395,Cr3 Si1 Zr2,1
50396,Ca5.061 F0.89 O11.46 P2.87,1
50397,B2 Ir2 Tb1,0
50398,Cd0.8 Li0.2,1
50399,H2 Cl14 Cs2 Mo6 O1,0
50400,S8 Tl1 V6,1
50401,Co2.62 O15 P3 Sr2.38 V1,1
50402,Al7.2 Ba6 Cu6.8,1
50403,La0.2 O3 Pb0.8 Ti0.35 Zr0.64,1
50404,H10 Co1 O10 Se2,0
50405,Cs2 Hg1 S8 Sn3,0
50406,Cu0.8 Mn1.2 O10 Te4,1
50407,Fe0.69 Ir0.05 Ni0.02 Os0.18 Ru0.06,1
50408,Gd0.41 O3 Y1.59,1
50409,Ag6 Ge1 Hg1 Se6,1
50410,C0.61 Ba2 Ca0.19 Cu1.2 O4.86,1
50411,Al1.5 Si1.5 Zr5,1
50412,Li1 Na2 O15 Si6 Y1,0
50413,Ba2 Cu3 Nd1 O7.02,1
50414,Cu1 Gd2 O12 Se4,0
50415,Cu12 S12 Sb4 Se1,1
50416,Cu0.85 Fe0.15 Mo1.26 Re2.74 S8,1
50417,Nd8.303 Sb19.98,1
50418,O14 Pt1 Si2 Sr8,0
50419,H10 Mn1 N1 Na1 O10 P2,0
50420,C2 H7 Na1 O6.5 P2 Sc1,0
50421,C2 Dy4 I6,1
50422,La1 Mn1 Si1,0
50423,Cu0.65 Ga1.35 Ho1,1
50424,Hf0.07 K1.996 O10 P2 Ti1.93,1
