,formula,target
225,Cl1 F11 O2 Sb2,0
226,Ge3 Li7 P1 S12,1
227,Ba1 Bi0.9 Ce0.1 O3,1
228,C2 Y1,0
229,Au3 In0.8 Zn0.2,1
230,Al5 Pd4 Sr2,0
231,Ba0.05 La0.95 Mn1 O3,1
232,Os1 Si1 Ta1,0
233,Co1 Ge0.25 Mn1 Si0.75,1
234,C8 H18 As4 Br4 Cu4 N2 O4,0
235,Ce1 Pd1 Sb2,0
236,Al2.415 Mg0.32 Mn0.055 O4,1
237,La0.8 Mn1 O2.8,1
238,S1 Si1 Zr1,0
239,C4 H14 Cd1 K1 O19 Ru2,0
240,Ba0.73 Mo1 O4 Sr0.27,1
241,Ca9 Li1 Mn1 O28 P7,0
242,K0.474 Li0.052 Na0.474 Nb0.948 O3 Ta0.052,1
243,O6 Sb1 Sr2 Yb1,0
244,Ca5 N6 Si2,0
245,F1 Ge4 Na5 Nd4 O16,0
246,Ba1.98 Cu3 O7 Pr0.25 Y0.77,1
247,Ca2 Cu2 Eu1 O6,1
248,B6 Ce0.5 La0.5,1
249,Al0.2 Fe0.8,1
250,Fe0.2 La0.5 Ni0.8 O4 Sr1.5,1
251,C4 H9 N1 O4,0
252,C1.6 B36 Ho2 Si8.4,1
253,Ba2 Cu3 Nd1 O6.6,1
254,H3 B3 O7 Zn1,0
255,Au1 Gd0.796 Mg1 Y0.204,1
256,Ag6 Hg1 N1 O11,1
257,Co1 O4 W1,0
258,Ca3 Cu0.951 Mn1.049 O6,1
259,Na0.1 Nd0.1 O3 Sr0.8 Ti1,1
260,Ag1 Bi0.5 In0.5 Se2,1
261,Ga0.8 Nb3.2,1
262,C2.8 H8.4 F2 Li0.62 Mg2.38 N0.7 O10 Si4,1
263,B1 Nd1 Pd3,0
264,Al7.84 Ca0.13 Fe0.04 K1.76 Na5.86 O32 Si8.12,1
265,Ba0.84 F12 Fe3.16 Na4,1
266,Cl2 Mn1 O6 Rb2 V2,1
267,Cd1 Cl3 Cs1,0
268,Er1 Fe0.2 Mn5.8 Sn6,1
269,Gd60 Ru9.84 Sn61.08,1
270,I4 Na1 O12 Sm1,0
271,H8 Na6 O32 Si8 Ti4 Zn1,1
272,La1 Pt1,0
273,H5.089 Co6 Na0.912 O19 P4,1
274,S1 Sb3 Zr5,0
